,а,б,в,г,д,е,ж,з,и,й,к,л,м,н,о,п,р,с,т,у,ф,х,ц,ч,ш,щ,ы,ь,э,ю,я
к,0.0001408252358822701,0.0008449514152936206,0.0,0.0,0.0,0.001408252358822701,0.0,0.0001408252358822701,0.0001408252358822701,0.0002816504717645402,0.0,0.001549077594704971,0.0,0.0005633009435290804,0.0001408252358822701,0.0002816504717645402,0.0,0.0019715533023517817,0.0008449514152936206,0.0001408252358822701,0.0007041261794113505,0.0,0.0007041261794113505,0.0,0.0,0.0,0.0002816504717645402,0.0008449514152936206,0.0001408252358822701,0.0023940290099985916,0.0
л,0.0023940290099985916,0.0038022813688212928,0.0025348542458808617,0.0023940290099985916,0.001549077594704971,0.007041261794113505,0.003098155189409942,0.0021123785382340513,0.002675679481763132,0.004365582312350373,0.0012674271229404308,0.009576116039994366,0.0023940290099985916,0.0016899028305872412,0.0035206308970567525,0.0012674271229404308,0.0011266018870581607,0.0012674271229404308,0.0021123785382340513,0.0011266018870581607,0.0032389804252922123,0.0036614561329390226,0.0052105337276439935,0.001549077594704971,0.001549077594704971,0.005069708491761723,0.0012674271229404308,0.002816504717645402,0.0022532037741163215,0.0011266018870581607,0.001408252358822701
м,0.0004224757076468103,0.0004224757076468103,0.0009857766511758908,0.0001408252358822701,0.0007041261794113505,0.0007041261794113505,0.0023940290099985916,0.0002816504717645402,0.0025348542458808617,0.001408252358822701,0.0005633009435290804,0.0004224757076468103,0.0,0.0005633009435290804,0.0004224757076468103,0.0009857766511758908,0.0,0.0009857766511758908,0.0004224757076468103,0.0009857766511758908,0.0019715533023517817,0.0007041261794113505,0.0007041261794113505,0.0008449514152936206,0.0005633009435290804,0.0001408252358822701,0.0002816504717645402,0.0002816504717645402,0.002957329953527672,0.0012674271229404308,0.0
н,0.0005633009435290804,0.0007041261794113505,0.0004224757076468103,0.0001408252358822701,0.0,0.0011266018870581607,0.0,0.0019715533023517817,0.0008449514152936206,0.0009857766511758908,0.0002816504717645402,0.0005633009435290804,0.0001408252358822701,0.0002816504717645402,0.002675679481763132,0.0001408252358822701,0.0,0.0002816504717645402,0.0008449514152936206,0.0001408252358822701,0.0008449514152936206,0.0007041261794113505,0.003098155189409942,0.0012674271229404308,0.0,0.0001408252358822701,0.0002816504717645402,0.0005633009435290804,0.0011266018870581607,0.0005633009435290804,0.0008449514152936206
о,0.001549077594704971,0.004647232784114913,0.0007041261794113505,0.0001408252358822701,0.0002816504717645402,0.0007041261794113505,0.0008449514152936206,0.0019715533023517817,0.0008449514152936206,0.0009857766511758908,0.0004224757076468103,0.0021123785382340513,0.0007041261794113505,0.0004224757076468103,0.0004224757076468103,0.0025348542458808617,0.0001408252358822701,0.0005633009435290804,0.0001408252358822701,0.0005633009435290804,0.0038022813688212928,0.0001408252358822701,0.005492184199408534,0.0002816504717645402,0.0038022813688212928,0.0007041261794113505,0.0005633009435290804,0.001549077594704971,0.0005633009435290804,0.0025348542458808617,0.0002816504717645402
п,0.002675679481763132,0.0004224757076468103,0.0004224757076468103,0.0,0.0001408252358822701,0.0008449514152936206,0.0,0.0002816504717645402,0.0,0.0002816504717645402,0.0002816504717645402,0.0,0.0,0.0005633009435290804,0.0004224757076468103,0.0,0.001549077594704971,0.0008449514152936206,0.0008449514152936206,0.0007041261794113505,0.001408252358822701,0.0,0.0001408252358822701,0.0016899028305872412,0.0004224757076468103,0.0004224757076468103,0.0016899028305872412,0.0004224757076468103,0.0012674271229404308,0.0005633009435290804,0.0004224757076468103
р,0.0002816504717645402,0.0005633009435290804,0.0002816504717645402,0.0,0.0001408252358822701,0.0001408252358822701,0.0001408252358822701,0.0008449514152936206,0.0019715533023517817,0.0002816504717645402,0.0001408252358822701,0.003943106604703563,0.0002816504717645402,0.0,0.0005633009435290804,0.0,0.0,0.0005633009435290804,0.0004224757076468103,0.0005633009435290804,0.0,0.0,0.0007041261794113505,0.0002816504717645402,0.0001408252358822701,0.0004224757076468103,0.0002816504717645402,0.0001408252358822701,0.0002816504717645402,0.0011266018870581607,0.0
с,0.0052105337276439935,0.0005633009435290804,0.0004224757076468103,0.0001408252358822701,0.0009857766511758908,0.0012674271229404308,0.0004224757076468103,0.0012674271229404308,0.0004224757076468103,0.0001408252358822701,0.0002816504717645402,0.0001408252358822701,0.0007041261794113505,0.0007041261794113505,0.0007041261794113505,0.0005633009435290804,0.0007041261794113505,0.0009857766511758908,0.0005633009435290804,0.0012674271229404308,0.005492184199408534,0.0008449514152936206,0.0002816504717645402,0.0011266018870581607,0.0011266018870581607,0.0011266018870581607,0.0002816504717645402,0.0009857766511758908,0.0002816504717645402,0.0011266018870581607,0.0004224757076468103
т,0.002957329953527672,0.0002816504717645402,0.0002816504717645402,0.0002816504717645402,0.0,0.0009857766511758908,0.0008449514152936206,0.0004224757076468103,0.002675679481763132,0.001549077594704971,0.0004224757076468103,0.001408252358822701,0.0002816504717645402,0.0007041261794113505,0.0019715533023517817,0.0001408252358822701,0.0002816504717645402,0.0016899028305872412,0.0005633009435290804,0.0002816504717645402,0.0005633009435290804,0.0004224757076468103,0.0012674271229404308,0.0007041261794113505,0.0001408252358822701,0.0011266018870581607,0.0004224757076468103,0.0004224757076468103,0.0008449514152936206,0.0016899028305872412,0.0008449514152936206
у,0.0008449514152936206,0.0012674271229404308,0.0008449514152936206,0.0009857766511758908,0.0001408252358822701,0.0004224757076468103,0.0002816504717645402,0.0002816504717645402,0.001549077594704971,0.0007041261794113505,0.0001408252358822701,0.007886213209407127,0.0008449514152936206,0.0004224757076468103,0.001408252358822701,0.0001408252358822701,0.0004224757076468103,0.0022532037741163215,0.0016899028305872412,0.0009857766511758908,0.0007041261794113505,0.0004224757076468103,0.0007041261794113505,0.0001408252358822701,0.0001408252358822701,0.0004224757076468103,0.0001408252358822701,0.0005633009435290804,0.0022532037741163215,0.0004224757076468103,0.0004224757076468103
ф,0.0022532037741163215,0.0009857766511758908,0.0007041261794113505,0.001549077594704971,0.0005633009435290804,0.002816504717645402,0.001549077594704971,0.0001408252358822701,0.0004224757076468103,0.0052105337276439935,0.0008449514152936206,0.0038022813688212928,0.0007041261794113505,0.0008449514152936206,0.001549077594704971,0.0004224757076468103,0.0009857766511758908,0.0007041261794113505,0.0005633009435290804,0.0012674271229404308,0.001549077594704971,0.0005633009435290804,0.0022532037741163215,0.0016899028305872412,0.0008449514152936206,0.0019715533023517817,0.0019715533023517817,0.0018307280664695113,0.0001408252358822701,0.005351358963526264,0.0005633009435290804
х,0.0007041261794113505,0.0001408252358822701,0.0001408252358822701,0.0,0.0,0.0032389804252922123,0.0,0.0023940290099985916,0.0001408252358822701,0.002675679481763132,0.0002816504717645402,0.0004224757076468103,0.0001408252358822701,0.0007041261794113505,0.0021123785382340513,0.0001408252358822701,0.0,0.0011266018870581607,0.0,0.002957329953527672,0.0,0.0,0.0001408252358822701,0.0,0.0,0.0,0.0,0.0001408252358822701,0.0004224757076468103,0.0001408252358822701,0.0002816504717645402
ц,0.0018307280664695113,0.0011266018870581607,0.001549077594704971,0.0005633009435290804,0.0007041261794113505,0.0001408252358822701,0.0019715533023517817,0.0011266018870581607,0.0022532037741163215,0.0007041261794113505,0.0008449514152936206,0.009012815096465286,0.0004224757076468103,0.0009857766511758908,0.0018307280664695113,0.0009857766511758908,0.0007041261794113505,0.0012674271229404308,0.0008449514152936206,0.0012674271229404308,0.0040839318405858326,0.001549077594704971,0.004647232784114913,0.001408252358822701,0.0005633009435290804,0.002816504717645402,0.0004224757076468103,0.0016899028305872412,0.0001408252358822701,0.0008449514152936206,0.001549077594704971
ч,0.0005633009435290804,0.0023940290099985916,0.0,0.0,0.0,0.0001408252358822701,0.0,0.0008449514152936206,0.0002816504717645402,0.0018307280664695113,0.0,0.0038022813688212928,0.0001408252358822701,0.0001408252358822701,0.005492184199408534,0.0004224757076468103,0.0001408252358822701,0.0009857766511758908,0.0002816504717645402,0.002957329953527672,0.0002816504717645402,0.0002816504717645402,0.0005633009435290804,0.0008449514152936206,0.0002816504717645402,0.0001408252358822701,0.0004224757076468103,0.0019715533023517817,0.0009857766511758908,0.0008449514152936206,0.0009857766511758908
ш,0.0011266018870581607,0.0009857766511758908,0.0002816504717645402,0.0004224757076468103,0.0002816504717645402,0.0005633009435290804,0.0,0.0007041261794113505,0.001549077594704971,0.0036614561329390226,0.0004224757076468103,0.0008449514152936206,0.0005633009435290804,0.0004224757076468103,0.0007041261794113505,0.0002816504717645402,0.0001408252358822701,0.0001408252358822701,0.0002816504717645402,0.0008449514152936206,0.0001408252358822701,0.0001408252358822701,0.005069708491761723,0.0005633009435290804,0.0007041261794113505,0.0009857766511758908,0.0002816504717645402,0.0005633009435290804,0.0011266018870581607,0.0007041261794113505,0.0
щ,0.0022532037741163215,0.005773834671173074,0.003098155189409942,0.0001408252358822701,0.0004224757076468103,0.0008449514152936206,0.0005633009435290804,0.0016899028305872412,0.0005633009435290804,0.001408252358822701,0.0004224757076468103,0.004788058019997183,0.002675679481763132,0.0,0.0001408252358822701,0.0002816504717645402,0.0005633009435290804,0.0002816504717645402,0.0001408252358822701,0.0001408252358822701,0.0016899028305872412,0.0,0.0002816504717645402,0.0001408252358822701,0.0007041261794113505,0.0007041261794113505,0.0002816504717645402,0.0005633009435290804,0.0005633009435290804,0.0007041261794113505,0.0002816504717645402
ы,0.0002816504717645402,0.0004224757076468103,0.0004224757076468103,0.0,0.0,0.0004224757076468103,0.0002816504717645402,0.0001408252358822701,0.0016899028305872412,0.002957329953527672,0.0002816504717645402,0.0004224757076468103,0.0036614561329390226,0.0,0.0005633009435290804,0.0001408252358822701,0.0005633009435290804,0.0005633009435290804,0.0001408252358822701,0.0004224757076468103,0.0002816504717645402,0.0,0.0007041261794113505,0.0,0.0,0.0002816504717645402,0.0004224757076468103,0.0004224757076468103,0.002957329953527672,0.0009857766511758908,0.0001408252358822701
ь,0.0052105337276439935,0.0022532037741163215,0.0001408252358822701,0.0008449514152936206,0.0025348542458808617,0.0009857766511758908,0.0,0.0005633009435290804,0.0004224757076468103,0.0052105337276439935,0.0002816504717645402,0.0012674271229404308,0.0,0.0004224757076468103,0.0005633009435290804,0.0012674271229404308,0.0005633009435290804,0.0007041261794113505,0.004928883255879453,0.0007041261794113505,0.0004224757076468103,0.0002816504717645402,0.0012674271229404308,0.0011266018870581607,0.0002816504717645402,0.0001408252358822701,0.0009857766511758908,0.0005633009435290804,0.0004224757076468103,0.0011266018870581607,0.0001408252358822701
э,0.0023940290099985916,0.005633009435290804,0.0005633009435290804,0.0001408252358822701,0.0008449514152936206,0.0019715533023517817,0.0002816504717645402,0.0007041261794113505,0.0002816504717645402,0.0012674271229404308,0.0007041261794113505,0.0009857766511758908,0.0012674271229404308,0.0012674271229404308,0.0011266018870581607,0.0007041261794113505,0.0008449514152936206,0.0008449514152936206,0.0008449514152936206,0.001408252358822701,0.0019715533023517817,0.0004224757076468103,0.0009857766511758908,0.0007041261794113505,0.0007041261794113505,0.0023940290099985916,0.0019715533023517817,0.0007041261794113505,0.0005633009435290804,0.0018307280664695113,0.0007041261794113505
ю,0.0019715533023517817,0.0004224757076468103,0.0007041261794113505,0.0004224757076468103,0.0008449514152936206,0.005773834671173074,0.0008449514152936206,0.0011266018870581607,0.0,0.003098155189409942,0.0008449514152936206,0.0012674271229404308,0.0004224757076468103,0.0005633009435290804,0.0004224757076468103,0.0004224757076468103,0.0004224757076468103,0.0002816504717645402,0.0011266018870581607,0.0007041261794113505,0.003098155189409942,0.0004224757076468103,0.0019715533023517817,0.0007041261794113505,0.0004224757076468103,0.0004224757076468103,0.0005633009435290804,0.0005633009435290804,0.005773834671173074,0.004365582312350373,0.0001408252358822701
я,0.0008449514152936206,0.0,0.0001408252358822701,0.0,0.0004224757076468103,0.0001408252358822701,0.0001408252358822701,0.0004224757076468103,0.0004224757076468103,0.0011266018870581607,0.0,0.006900436558231235,0.0001408252358822701,0.0009857766511758908,0.0005633009435290804,0.0004224757076468103,0.0001408252358822701,0.0004224757076468103,0.0001408252358822701,0.0001408252358822701,0.0011266018870581607,0.0004224757076468103,0.0001408252358822701,0.0001408252358822701,0.0,0.0001408252358822701,0.0001408252358822701,0.0005633009435290804,0.0001408252358822701,0.0,0.0
